abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
BRAZ J BIOL	Brazilian journal of biology = Revista brasleira de biologia	1519-6984	1678-4375		BRAZILIAN JOURNAL OF BIOLOGY	1.651					Q3				
MICROBES ENVIRON	Microbes and environments	1342-6311	1347-4405	JAPANESE SOC MICROBIAL ECOLOGY, DEPT BIORESOURCE SCIENCE	MICROBES AND ENVIRONMENTS	2.912	2.596	2.2	2.1	2.0	Q3	Q4	Q4	Q3	Q3
HEMATOLOGY AM SOC HEMATOL EDUC PROGRAM	Hematology. American Society of Hematology. Education Program	1520-4391	1520-4383	AMER SOC HEMATOLOGY	HEMATOLOGY-AMERICAN SOCIETY OF HEMATOLOGY EDUCATION PROGRAM	3.061	2.697	3.0	2.9	3.2	Q2	Q2	Q2	Q1	Q1
AM J CLIN DERMATOL	American journal of clinical dermatology	1175-0561	1179-1888	ADIS INT LTD	AMERICAN JOURNAL OF CLINICAL DERMATOLOGY	7.403	6.233	7.3	8.6	8.8	Q1	Q1	Q1	Q1	Q1
FOOD TECHNOL BIOTECHNOL	Food technology and biotechnology	1330-9862	1334-2606	FACULTY FOOD TECHNOLOGY BIOTECHNOLOGY	FOOD TECHNOLOGY AND BIOTECHNOLOGY	3.918	2.33	2.4	2.3	2.5	Q2	Q3	Q3	Q3	Q3
PAIN MANAG NURS	Pain management nursing : official journal of the American Society of Pain Management Nurses	1524-9042	1532-8635	ELSEVIER SCIENCE INC	PAIN MANAGEMENT NURSING	1.929	2.356	1.7	1.6	2.1	Q2	Q2	Q3	Q2	Q2
GASTRIC CANCER	Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association	1436-3291	1436-3305	SPRINGER	GASTRIC CANCER	7.37	7.701	7.4	6.0	5.1	Q1	Q1	Q1	Q1	Q1
VALUE HEALTH	Value in health : the journal of the International Society for Pharmacoeconomics and Outcomes Research	1098-3015	1524-4733	ELSEVIER SCIENCE INC	VALUE IN HEALTH	5.728	5.156	4.5	4.9	6.0	Q1	Q1	Q1	Q1	Q1
AUTISM	Autism : the international journal of research and practice	1362-3613	1461-7005	SAGE PUBLICATIONS LTD	AUTISM	5.689	6.684	5.2	5.2	5.6	Q1	Q1	Q1	Q1	Q1
INT J CLIN ONCOL	International journal of clinical oncology	1341-9625	1437-7772	SPRINGER JAPAN KK	INTERNATIONAL JOURNAL OF CLINICAL ONCOLOGY	3.402	3.85	3.3	2.4	2.8	Q3	Q3	Q3	Q3	Q2
NEUROCIRUGIA (ASTUR)	Neurocirugia (Asturias, Spain)	1130-1473	2340-6305		NEUROCIRUGIA	0.553	0.817	0.8	0.7	0.8	Q4	Q4	Q4	Q4	Q3
J INTERPROF CARE	Journal of interprofessional care	1356-1820	1469-9567	TAYLOR & FRANCIS INC	JOURNAL OF INTERPROFESSIONAL CARE	2.338	2.663	2.7	1.9	2.6	Q3	Q3	Q3	Q3	Q2
J OCCUP REHABIL	Journal of occupational rehabilitation	1053-0487	1573-3688	SPRINGER/PLENUM PUBLISHERS	JOURNAL OF OCCUPATIONAL REHABILITATION	3.489	3.134	3.3	2.1	2.5	Q1	Q1	Q1	Q1	Q1
PHYTOCHEM ANAL	Phytochemical analysis : PCA	0958-0344	1099-1565	WILEY	PHYTOCHEMICAL ANALYSIS	3.373	3.024	3.3	3.0	2.6	Q2	Q2	Q2	Q2	Q2
ANAL SCI	Analytical sciences : the international journal of the Japan Society for Analytical Chemistry	0910-6340	1348-2246	SPRINGERNATURE	ANALYTICAL SCIENCES	2.081	1.967	1.6	1.8	2.0	Q3	Q4	Q4	Q3	Q3
BIOMACROMOLECULES	Biomacromolecules	1525-7797	1526-4602	AMER CHEMICAL SOC	BIOMACROMOLECULES	6.988	6.979	6.2	5.5	5.4	Q1	Q1	Q1	Q1	Q1
ANNU REV PHYTOPATHOL	Annual review of phytopathology	0066-4286	1545-2107	ANNUAL REVIEWS	ANNUAL REVIEW OF PHYTOPATHOLOGY	13.078	10.85	10.2	9.1	11.9	Q1	Q1	Q1	Q1	Q1
ATTACH HUM DEV	Attachment & human development	1461-6734	1469-2988	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ATTACHMENT & HUMAN DEVELOPMENT	3.833	3.024	3.2	3.3	2.4	Q2	Q2	Q2	Q1	Q2
BIOGERONTOLOGY	Biogerontology	1389-5729	1573-6768	SPRINGER	BIOGERONTOLOGY	4.277	4.284	4.5	4.4	4.1	Q2	Q2	Q2	Q1	Q2
ANNU REV GENOMICS HUM GENET	Annual review of genomics and human genetics	1527-8204	1545-293X	ANNUAL REVIEWS	ANNUAL REVIEW OF GENOMICS AND HUMAN GENETICS	8.929	9.34	8.7	7.7	7.9	Q1	Q1	Q1	Q1	Q1
REV ENDOCR METAB DISORD	Reviews in endocrine & metabolic disorders	1389-9155	1573-2606	SPRINGER	REVIEWS IN ENDOCRINE & METABOLIC DISORDERS	6.514	9.306	8.2	6.9	8.0	Q1	Q1	Q1	Q1	Q1
ASIA PAC J CLIN NUTR	Asia Pacific journal of clinical nutrition	0964-7058	1440-6047	H E C PRESS, HEALTHY EATING CLUB PTY LTD	ASIA PACIFIC JOURNAL OF CLINICAL NUTRITION	1.662	1.322	1.3	1.3	1.5	Q4	Q4	Q4	Q4	Q4
J GAMBL STUD	Journal of gambling studies	1050-5350	1573-3602	SPRINGER	JOURNAL OF GAMBLING STUDIES	3.655	3.396	2.4	2.4	2.2	Q1	Q2	Q2	Q2	Q2
CURR OPIN PHARMACOL	Current opinion in pharmacology	1471-4892	1471-4973	ELSEVIER SCI LTD	CURRENT OPINION IN PHARMACOLOGY	5.547	4.768	4.0	4.0	4.2	Q1	Q2	Q2	Q1	Q1
ANIM HEALTH RES REV	Animal health research reviews	1466-2523	1475-2654	CAMBRIDGE UNIV PRESS	ANIMAL HEALTH RESEARCH REVIEWS	2.615	2.283	2.5	4.3	5.6	Q1	Q2	Q1	Q1	Q1
JOP	JOP : Journal of the pancreas		1590-8577	E S BURIONI RICERCHE BIBLIOGRAFICHE	JOURNAL OF THE PANCREAS			0.2	0.1					Q4	Q4
SPAN J PSYCHOL	The Spanish journal of psychology	1138-7416	1988-2904	CAMBRIDGE UNIV PRESS	SPANISH JOURNAL OF PSYCHOLOGY	1.264	1.526	2.3	2.9	1.8	Q4	Q3	Q3	Q1	Q2
EXPERT OPIN BIOL THER	Expert opinion on biological therapy	1471-2598	1744-7682	TAYLOR & FRANCIS LTD	EXPERT OPINION ON BIOLOGICAL THERAPY	4.388	5.589	4.6	3.6	4.0	Q2	Q1	Q2	Q2	Q2
HIV MED	HIV medicine	1464-2662	1468-1293	WILEY	HIV MEDICINE	3.18	3.094	3.0	2.8	3.2	Q3	Q3	Q3	Q2	Q2
CRYO LETTERS	Cryo letters	0143-2044		CRYO LETTERS	CRYOLETTERS	1.066	0.892	1.0	1.0	0.9	Q4	Q4	Q4	Q3	Q3
DIVERS DISTRIB	Diversity & distributions	1366-9516	1472-4642	WILEY	DIVERSITY AND DISTRIBUTIONS	5.139	5.717	4.6	4.6	4.2	Q1	Q1	Q1	Q1	Q1
FOR ECOL MANAGE	Forest ecology and management	0378-1127		ELSEVIER	FOREST ECOLOGY AND MANAGEMENT	3.558	4.384	3.7	3.7	3.7	Q1	Q1	Q1	Q1	Q1
J RAPTOR RES	The journal of raptor research	0892-1016		RAPTOR RESEARCH FOUNDATION INC	JOURNAL OF RAPTOR RESEARCH	1.151	1.518	1.7	1.2	1.2	Q3	Q2	Q1	Q2	Q2
ACTA DERMATOVENEROL CROAT	Acta dermatovenerologica Croatica : ADC	1330-027X	1847-6538	CROATION DERMATOVENEROLOGICAL SOC	ACTA DERMATOVENEROLOGICA CROATICA	1.256	1.238	0.6	0.6	0.5	Q4	Q4	Q4	Q4	Q4
LINACRE Q	The Linacre quarterly	0024-3639	2050-8549	SAGE PUBLICATIONS INC	LINACRE QUARTERLY			0.5	0.4	0.5				Q4	Q4
TECH VASC INTERV RADIOL	Techniques in vascular and interventional radiology	1089-2516	1557-9808	ELSEVIER	TECHNIQUES IN VASCULAR AND INTERVENTIONAL RADIOLOGY			1.7	1.4	1.3				Q3	Q3
TECH COLOPROCTOL	Techniques in coloproctology	1123-6337	1128-045X	SPRINGER-VERLAG ITALIA SRL	TECHNIQUES IN COLOPROCTOLOGY	3.781	3.699	3.3	2.7	2.9	Q1	Q1	Q1	Q1	Q1
SCHMERZ	Schmerz (Berlin, Germany)	0932-433X	1432-2129	SPRINGER HEIDELBERG	SCHMERZ	1.107	1.629	1.0	1.1	0.6	Q4	Q4	Q4	Q3	Q4
INSECT SYST EVOL	Insect systematics & evolution	1399-560X		BRILL	INSECT SYSTEMATICS & EVOLUTION	1.8	1.304	1.2	1.3	1.4	Q2	Q3	Q3	Q2	Q2
AM J BIOETH	The American journal of bioethics : AJOB	1526-5161	1536-0075	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	AMERICAN JOURNAL OF BIOETHICS	11.229	14.676	13.4	17.0	20.8	Q1	Q1	Q1	Q1	Q1
KOREAN J RADIOL	Korean journal of radiology	1229-6929	2005-8330	KOREAN SOCIETY OF RADIOLOGY	KOREAN JOURNAL OF RADIOLOGY	3.5	7.109	4.8	4.4	5.3	Q2	Q1	Q1	Q1	Q1
J NURS RES	The journal of nursing research : JNR	1682-3141	1948-965X	LIPPINCOTT WILLIAMS & WILKINS	JOURNAL OF NURSING RESEARCH	1.682	2.517	2.7	2.4	2.5	Q3	Q2	Q1	Q1	Q1
TSINGHUA SCI TECHNOL	Tsinghua science and technology	1007-0214	1878-7606	TSINGHUA UNIV PRESS	TSINGHUA SCIENCE AND TECHNOLOGY	2.016	3.515	6.6	5.2	3.5	Q2	Q2	Q1	Q1	Q2
ZOOSYSTEMA	Zoosystema	1280-9551		PUBLICATIONS SCIENTIFIQUES DU MUSEUM, PARIS	ZOOSYSTEMA	1.094	1.754	1.0	0.9	1.2	Q3	Q2	Q3	Q3	Q2
SEED SCI RES	Seed science research	0960-2585		CAMBRIDGE UNIV PRESS	SEED SCIENCE RESEARCH	2.25	1.585	2.1	2.1	1.9	Q2	Q3	Q2	Q2	Q2
CURR PROBL PEDIATR ADOLESC HEALTH CARE	Current problems in pediatric and adolescent health care	1538-5442	1538-3199	ELSEVIER SCIENCE INC	CURRENT PROBLEMS IN PEDIATRIC AND ADOLESCENT HEALTH CARE	2.063	2.557	1.6	3.0	3.7	Q3	Q3	Q3	Q1	Q1
OCCUP THER INT	Occupational therapy international	0966-7903	1557-0703	WILEY	OCCUPATIONAL THERAPY INTERNATIONAL	1.448	1.565	1.5	1.3	0.9	Q4	Q4	Q4	Q3	Q4
ANN MICROBIOL	Annals of microbiology	1590-4261		BMC	ANNALS OF MICROBIOLOGY	2.112	3.168	3.0	3.0	3.4	Q4	Q3	Q3	Q2	Q2
INVERTEBR SYST	Invertebrate systematics	1445-5226	1447-2600	CSIRO PUBLISHING	INVERTEBRATE SYSTEMATICS	2.583	2.364	2.2	1.8	1.9	Q1	Q1	Q1	Q1	Q1
MYCOL PROG	Mycological progress	1617-416X	1861-8952	SPRINGER HEIDELBERG	MYCOLOGICAL PROGRESS	2.847	2.538	2.4	2.1	3.0	Q3	Q3	Q3	Q3	Q2
ADV MAR BIOL	Advances in marine biology	0065-2881	2162-5875		ADVANCES IN MARINE BIOLOGY	5.143	3.172				Q1	Q1			
CHEMBIOCHEM	Chembiochem : a European journal of chemical biology	1439-4227	1439-7633	WILEY-V C H VERLAG GMBH	CHEMBIOCHEM	3.164	3.468	3.2	2.6	2.8	Q3	Q3	Q3	Q3	Q3
MMWR RECOMM REP	MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports	1057-5987	1545-8601	CENTERS DISEASE CONTROL & PREVENTION	MMWR RECOMMENDATIONS AND REPORTS	55.857	36.286	33.7		60.1	Q1	Q1	Q1		Q1
J MED LIBR ASSOC	Journal of the Medical Library Association : JMLA	1536-5050	1558-9439	MEDICAL LIBRARY ASSOC	JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION	3.18	2.323	2.0	2.9	5.1	Q2	Q3	Q3	Q1	Q1
J RENIN ANGIOTENSIN ALDOSTERONE SYST	Journal of the renin-angiotensin-aldosterone system : JRAAS	1470-3203	1752-8976	SAGE PUBLICATIONS INC	JOURNAL OF THE RENIN-ANGIOTENSIN-ALDOSTERONE SYSTEM	1.636	4.109	2.9	2.1	4.1	Q4	Q2	Q3	Q3	Q1
PAIN RES MANAG	Pain research & management	1203-6765	1918-1523	WILEY	PAIN RESEARCH & MANAGEMENT	3.037	2.667	2.9	2.5	3.0	Q3	Q3	Q3	Q2	Q2
J KNEE SURG	The journal of knee surgery	1538-8506	1938-2480	GEORG THIEME VERLAG KG	JOURNAL OF KNEE SURGERY	2.757	2.501	1.7	1.6	1.6	Q2	Q3	Q3	Q3	Q3
CLIN PHYSIOL FUNCT IMAGING	Clinical physiology and functional imaging	1475-0961	1475-097X	WILEY	CLINICAL PHYSIOLOGY AND FUNCTIONAL IMAGING	2.273	2.121	1.8	1.3	1.3	Q3	Q4	Q4	Q4	Q4
ANIM COGN	Animal cognition	1435-9448	1435-9456	SPRINGER HEIDELBERG	ANIMAL COGNITION	3.084	2.899	2.7	1.9	2.1	Q1	Q1	Q1	Q1	Q1
J ATTEN DISORD	Journal of attention disorders	1087-0547	1557-1246	SAGE PUBLICATIONS INC	JOURNAL OF ATTENTION DISORDERS	3.256	3.196	3.0	2.7	2.2	Q2	Q2	Q2	Q2	Q2
CLIN LINGUIST PHON	Clinical linguistics & phonetics	0269-9206	1464-5076	TAYLOR & FRANCIS INC	CLINICAL LINGUISTICS & PHONETICS	1.346	1.339	1.2	0.8	1.0	Q2	Q2	Q2	Q3	Q2
BIOMEDICA	Biomedica : revista del Instituto Nacional de Salud	0120-4157	2590-7379	INST NACIONAL SALUD - Colombia	BIOMEDICA	0.935	1.173	0.9	0.8	0.6	Q4	Q4	Q4	Q4	Q4
FOOD NUTR BULL	Food and nutrition bulletin	0379-5721	1564-8265	SAGE PUBLICATIONS INC	FOOD AND NUTRITION BULLETIN	2.069	2.244	1.9	1.8	1.6	Q3	Q3	Q4	Q3	Q3
J FLUENCY DISORD	Journal of fluency disorders	0094-730X	1873-801X	ELSEVIER SCIENCE INC	JOURNAL OF FLUENCY DISORDERS	2.538	2.297	2.1	2.1	1.4	Q1	Q1	Q1	Q1	Q2
J SAFETY RES	Journal of safety research	0022-4375	1879-1247	PERGAMON-ELSEVIER SCIENCE LTD	JOURNAL OF SAFETY RESEARCH	3.487	4.264	4.1	3.9	4.4	Q1	Q1	Q1	Q1	Q1
CLIN BREAST CANCER	Clinical breast cancer	1526-8209	1938-0666	CIG MEDIA GROUP, LP	CLINICAL BREAST CANCER	3.225	3.078	3.1	2.9	2.5	Q3	Q3	Q3	Q2	Q3
AGING MALE	The aging male : the official journal of the International Society for the Study of the Aging Male	1368-5538	1473-0790	TAYLOR & FRANCIS LTD	AGING MALE	5.892	2.398	2.6	2.7	2.6	Q1	Q3	Q3	Q2	Q2
CURR NEUROL NEUROSCI REP	Current neurology and neuroscience reports	1528-4042	1534-6293	SPRINGER	CURRENT NEUROLOGY AND NEUROSCIENCE REPORTS	5.081	6.03	5.6	4.8	5.2	Q1	Q1	Q1	Q1	Q1
LANCET ONCOL	The Lancet. Oncology	1470-2045	1474-5488	ELSEVIER SCIENCE INC	LANCET ONCOLOGY	41.316	54.433	51.1	41.6	35.9	Q1	Q1	Q1	Q1	Q1
J MENT HEALTH POLICY ECON	The journal of mental health policy and economics	1091-4358	1099-176X	INT CTR MENTAL HEALTH POLICY & ECONOMICS-ICMPE	JOURNAL OF MENTAL HEALTH POLICY AND ECONOMICS	0.889	1.792	1.6	1.0	1.6	Q4	Q4	Q4	Q4	Q3
CHEM REC	Chemical record (New York, N.Y.)	1527-8999	1528-0691	WILEY-V C H VERLAG GMBH	CHEMICAL RECORD	6.771	6.935	6.6	7.0	7.5	Q1	Q2	Q1	Q1	Q1
CURR MOL MED	Current molecular medicine	1566-5240	1875-5666	BENTHAM SCIENCE PUBL LTD	CURRENT MOLECULAR MEDICINE	2.222	2.616	2.5	2.2	2.5	Q4	Q4	Q3	Q3	Q3
CURR ALLERGY ASTHMA REP	Current allergy and asthma reports	1529-7322	1534-6315	CURRENT MEDICINE GROUP	CURRENT ALLERGY AND ASTHMA REPORTS	4.806	4.919	5.5	5.4	4.6	Q2	Q2	Q2	Q1	Q2
CURR TOP MED CHEM	Current topics in medicinal chemistry	1568-0266	1873-4294	BENTHAM SCIENCE PUBL LTD	CURRENT TOPICS IN MEDICINAL CHEMISTRY	3.295	3.57	3.4	2.9	3.3	Q3	Q3	Q3	Q3	Q3
EXPERT REV MOL DIAGN	Expert review of molecular diagnostics	1473-7159	1744-8352	TAYLOR & FRANCIS LTD	EXPERT REVIEW OF MOLECULAR DIAGNOSTICS	5.225	5.67	5.1	3.9	3.6	Q1	Q1	Q1	Q1	Q1
BEST PRACT RES CLIN ANAESTHESIOL	Best practice & research. Clinical anaesthesiology	1521-6896	1878-1608	ELSEVIER	BEST PRACTICE & RESEARCH-CLINICAL ANAESTHESIOLOGY	2.431	3.813	4.8	4.7	2.8	Q3	Q2	Q2	Q1	Q1
NAT REV CANCER	Nature reviews. Cancer	1474-175X	1474-1768	NATURE PORTFOLIO	NATURE REVIEWS CANCER	60.716	69.8	78.5	72.5	66.8	Q1	Q1	Q1	Q1	Q1
NAT REV IMMUNOL	Nature reviews. Immunology	1474-1733	1474-1741	NATURE PORTFOLIO	NATURE REVIEWS IMMUNOLOGY	53.106	108.555	100.3	67.7	60.9	Q1	Q1	Q1	Q1	Q1
POL J VET SCI	Polish journal of veterinary sciences	1505-1773	2300-2557	POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARMIA & MAZURY OLSZTYN	POLISH JOURNAL OF VETERINARY SCIENCES	0.821	0.859	0.8	0.8	1.0	Q3	Q3	Q3	Q3	Q3
EXPERT OPIN THER TARGETS	Expert opinion on therapeutic targets	1472-8222	1744-7631	TAYLOR & FRANCIS LTD	EXPERT OPINION ON THERAPEUTIC TARGETS	6.902	6.797	5.8	4.6	4.4	Q1	Q1	Q1	Q1	Q1
LANCET INFECT DIS	The Lancet. Infectious diseases	1473-3099	1474-4457	ELSEVIER SCI LTD	LANCET INFECTIOUS DISEASES	25.071	71.421	56.3	36.4	31.0	Q1	Q1	Q1	Q1	Q1
OMICS	Omics : a journal of integrative biology	1536-2310	1557-8100	MARY ANN LIEBERT, INC	OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY	3.374	3.978	3.3	2.2	1.6	Q2	Q2	Q2	Q3	Q3
AIDS REV	AIDS reviews	1139-6121	1698-6997	PERMANYER PUBL	AIDS REVIEWS	2.5	2.381	2.2	1.9	2.5	Q3	Q4	Q4	Q3	Q2
EXP PSYCHOL	Experimental psychology	1618-3169	2190-5142	HOGREFE PUBLISHING CORP	EXPERIMENTAL PSYCHOLOGY	1.355	1.667	1.3	1.1	1.3	Q4	Q4	Q4	Q4	Q4
CIRC J	Circulation journal : official journal of the Japanese Circulation Society	1346-9843	1347-4820	JAPANESE CIRCULATION SOC	CIRCULATION JOURNAL	2.993	3.35	3.3	3.1	3.7	Q3	Q3	Q2	Q2	Q1
J CELL MOL MED	Journal of cellular and molecular medicine	1582-1838	1582-4934	WILEY	JOURNAL OF CELLULAR AND MOLECULAR MEDICINE	5.31	5.295	5.3	4.3	4.2	Q2	Q2	Q2	Q2	Q2
WEED RES	Weed research	0043-1737	1365-3180	WILEY	WEED RESEARCH	2.424	2.117	1.7	2.2	2.4	Q2	Q2	Q3	Q2	Q2
J CHROMATOGR B ANALYT TECHNOL BIOMED LIFE SCI	Journal of chromatography. B, Analytical technologies in the biomedical and life sciences	1570-0232	1873-376X	ELSEVIER	JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES	3.205	3.318	3.0	2.8	2.8	Q2	Q2	Q2	Q2	Q2
C R BIOL	Comptes rendus biologies	1631-0691	1768-3238	ACAD SCIENCES	COMPTES RENDUS BIOLOGIES	1.583	2.357	2.0	0.7	0.6	Q3	Q3	Q3	Q4	Q4
J NUTR EDUC BEHAV	Journal of nutrition education and behavior	1499-4046	1878-2620	ELSEVIER SCIENCE INC	JOURNAL OF NUTRITION EDUCATION AND BEHAVIOR	3.045	2.822	2.6	2.3	2.3	Q2	Q2	Q3	Q2	Q2
EUR J NUCL MED MOL IMAGING	European journal of nuclear medicine and molecular imaging	1619-7070	1619-7089	SPRINGER	EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING	9.236	10.057	9.1	8.6	7.6	Q1	Q1	Q1	Q1	Q1
COMP PARASITOL	Comparative parasitology	1525-2647	1938-2952	HELMINTHOLOGICAL SOC WASHINGTON	COMPARATIVE PARASITOLOGY	0.429	0.673	0.5	0.4	0.4	Q4	Q4	Q4	Q4	Q4
ANAL BIOANAL CHEM	Analytical and bioanalytical chemistry	1618-2642	1618-2650	SPRINGER HEIDELBERG	ANALYTICAL AND BIOANALYTICAL CHEMISTRY	4.157	4.478	4.3	3.8	3.8	Q2	Q2	Q1	Q1	Q1
VASC ENDOVASCULAR SURG	Vascular and endovascular surgery	1538-5744	1938-9116		VASCULAR AND ENDOVASCULAR SURGERY	1.089	1.046	0.9	0.7	0.7	Q4	Q4	Q4	Q4	Q4
CYTOTHERAPY	Cytotherapy	1465-3249	1477-2566	ELSEVIER SCI LTD	CYTOTHERAPY	5.414	6.196	4.5	3.7	3.2	Q1	Q1	Q2	Q1	Q2
CURR OPIN ALLERGY CLIN IMMUNOL	Current opinion in allergy and clinical immunology	1528-4050	1473-6322	LIPPINCOTT WILLIAMS & WILKINS	CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY	3.142	3.253	2.8	3.0	2.6	Q3	Q3	Q3	Q2	Q2
COMPUT INFORM NURS	Computers, informatics, nursing : CIN	1538-2931	1538-9774	LIPPINCOTT WILLIAMS & WILKINS	CIN-COMPUTERS INFORMATICS NURSING	1.985	2.146	1.3	1.3	1.9	Q2	Q2	Q4	Q3	Q2
CLIN EXP OPTOM	Clinical & experimental optometry	0816-4622	1444-0938	TAYLOR & FRANCIS LTD	CLINICAL AND EXPERIMENTAL OPTOMETRY	3.025	3.143	1.9	1.7	1.5	Q2	Q2	Q3	Q3	Q3
J COSMET LASER THER	Journal of cosmetic and laser therapy : official publication of the European Society for Laser Dermatology	1476-4172	1476-4180	TAYLOR & FRANCIS INC	JOURNAL OF COSMETIC AND LASER THERAPY	2.247	1.982	1.2	1.2	1.3	Q3	Q3	Q4	Q3	Q3
PSYCHOL PSYCHOTHER	Psychology and psychotherapy	1476-0835	2044-8341	WILEY	PSYCHOLOGY AND PSYCHOTHERAPY-THEORY RESEARCH AND PRACTICE	3.915	3.966	3.4	2.6	2.7	Q1	Q2	Q2	Q2	Q2
J SPEC PEDIATR NURS	Journal for specialists in pediatric nursing : JSPN	1539-0136	1744-6155	WILEY	JOURNAL FOR SPECIALISTS IN PEDIATRIC NURSING	1.26	1.309	1.3	1.2	1.6	Q4	Q4	Q4	Q3	Q2
PERSPECT SEX REPROD HEALTH	Perspectives on sexual and reproductive health	1538-6341	1931-2393	WILEY	PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH	2.75	5.706	5.8	3.4	3.5	Q2	Q1	Q1	Q1	Q1
ASIAN CARDIOVASC THORAC ANN	Asian cardiovascular & thoracic annals	0218-4923	1816-5370	SAGE PUBLICATIONS INC	ASIAN CARDIOVASCULAR & THORACIC ANNALS			0.7		0.6					Q4
ACTA UNIV CAROL GEOGR	Acta Universitatis Carolinae. Geographica. Univerzita Karlova	0300-5402		CHARLES UNIV PRAGUE, KAROLINUM PRESS	AUC GEOGRAPHICA			0.6	0.5	0.9				Q3	Q3
INT MIGR REV	The International migration review	0197-9183	1747-7379	SAGE PUBLICATIONS INC	INTERNATIONAL MIGRATION REVIEW	2.901	3.96	3.8	2.3	2.4	Q2	Q2	Q1	Q1	Q1
J HEALTH MANAG	Journal of health management	0972-0634	0973-0729	SAGE PUBLICATIONS INDIA PVT LTD	JOURNAL OF HEALTH MANAGEMENT			2.3	1.0	0.6				Q4	Q4
CULT HEALTH SEX	Culture, health & sexuality	1369-1058	1464-5351	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	CULTURE HEALTH & SEXUALITY	2.969	2.154	2.2	1.8	1.7	Q1	Q2	Q2	Q2	Q2
J HUM BEHAV SOC ENVIRON	Journal Of Human Behavior In The Social Environment	1091-1359	1540-3556	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF HUMAN BEHAVIOR IN THE SOCIAL ENVIRONMENT			1.6	1.2	1.2				Q3	Q2
J APPL PROBAB	Journal of applied probability	0021-9002			JOURNAL OF APPLIED PROBABILITY	1.042	1.116	1.0	0.7	0.7	Q4	Q4	Q3	Q3	Q4
J MATH ANAL APPL	Journal of mathematical analysis and applications	0022-247X		ACADEMIC PRESS INC ELSEVIER SCIENCE	JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS	1.583	1.417	1.3	1.2	1.2	Q1	Q1	Q2	Q1	Q1
HIST FAM	The history of the family : an international quarterly	1081-602X			HISTORY OF THE FAMILY	1.107	1.19	1.0	1.0	0.7	Q2	Q2	Q1	Q2	Q2
SCI COMMUN	Science communication	1075-5470		SAGE PUBLICATIONS INC	SCIENCE COMMUNICATION	4.18	7.441	9.0	4.6	4.1	Q1	Q1	Q1	Q1	Q1
INDIAN J GEND STUD	Indian journal of gender studies	0971-5215		SAGE PUBLICATIONS INDIA PVT LTD	INDIAN JOURNAL OF GENDER STUDIES	0.341	0.622	0.4	0.5	0.3	Q4	Q4	Q4	Q3	Q4
J R ANTHROPOL INST	The journal of the Royal Anthropological Institute	1359-0987		WILEY	JOURNAL OF THE ROYAL ANTHROPOLOGICAL INSTITUTE	1.443	1.673	1.2	1.2	1.1	Q2	Q2	Q2	Q2	Q2
PERS RELATSH	Personal Relationships	1350-4126		WILEY	PERSONAL RELATIONSHIPS	1.9	1.528	1.6	1.8	2.2	Q3	Q3	Q3	Q2	Q1
SCHOOL PSYCH REV	School psychology review	0279-6015	2372-966X	TAYLOR & FRANCIS INC	SCHOOL PSYCHOLOGY REVIEW	2.722	2.136	3.0	3.9	4.2	Q2	Q3	Q2	Q1	Q1
COMMUN THEORY	Communication theory : CT : a journal of the International Communication Association	1050-3293		OXFORD UNIV PRESS INC	COMMUNICATION THEORY	2.978	4.111	3.7	4.7	6.2	Q2	Q1	Q2	Q1	Q1
CAREER DEV Q	The Career development quarterly	0889-4019		WILEY	CAREER DEVELOPMENT QUARTERLY	2.491	2.408	2.1	2.1	2.3	Q3	Q3	Q3	Q3	Q2
INT J PSYCHOL RELIG	The International journal for the psychology of religion	1050-8619	1532-7582	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	INTERNATIONAL JOURNAL FOR THE PSYCHOLOGY OF RELIGION	2.029	2.88	2.2	1.7	1.5	Q3	Q2	Q3	Q2	Q3
J MULTICULT COUNS DEVEL	Journal of multicultural counseling and development	0883-8534		WILEY	JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT	1.294	0.833	1.0	0.8	1.0	Q4	Q4	Q4	Q4	Q4
